"#";LATITUDE;LONGITUDE;NAME
418;53.3;56.9;KULGUNINO
419;48.7308;-3.46194;LANNION
420;-15.6781;23.2999;LATOYA
421;52.21;14.122;LIN
422;29.9763;100.262;LITANG
423;-14.55;-60.6167;LOS_FIEROS
424;27.49;83.28;LUMBINI
425;30.593;58.228;LUT_DESERT_00001
426;34.9605;-97.9788;LW-SCAN
427;-2.59908;-60.0386;MANAUS
428;-2.89053;-59.9698;MANAUS_EMBRAPA
429;45.995;106.327;MANDALGOBI
430;45.92;26.08;MARTINENI
431;52.2093;14.1209;METOBS_LINDENBERG
432;44.43;-121.56;METOLIUSYP
433;26.4185;80.1217;MOBILE_KANPUR_W2
434;26.5307;80.5057;MOBILE_N_60708
435;26.1251;80.5328;MOBILE_S_50608
436;52.4022;-0.235211;MONKS_WOOD
437;0.566667;30.3667;MUBFS
438;16.6067;104.676;MUKDAHAN
439;6.49601;124.843;ND_MARBEL_UNIV
440;30.11;35.01;NEGEV
441;40.8124;-104.744;NEON-CPER
442;37.0904;-119.722;NEON17-SJER
443;35.5507;-115.382;NEON_IVANPAH
444;40.4619;-103.029;NEON_STERLING
445;42.7648;-100.02;NIABRARA
446;55.903;-98.29;NSA_YJP_BOREAS
447;35.0456;-97.9173;OK_ST_UNIV
448;19;55.5;OMANI_DESERT
449;17.7983;98.4317;OMKOI
450;47.9867;1.76111;ORLEAN_BRICY
451;29.0275;-111.146;ORS_HERMOSILLO
452;53.5;-105.5;PADDOCKWOOD
453;29.0463;79.5209;PANTNAGAR
454;46.815;6.944;PAY
455;46.815;6.944;PAYERNE
456;49.325;7.94;PFAELZER_WALD
457;15.1819;102.564;PIMAI
458;39.593;116.184;PKU_PEK
459;-11;-48;PORTO_NACIONAL
460;46.75;-117.192;PULLMAN
461;-6.3556;106.664;PUSPIPTEK
462;16.71;32.68;QOZ_EL_HARR
463;31.6703;-7.59944;RAS_EL_AIN
464;20.7285;106.128;RED_RIVER_DELTA
465;50.205;-104.713;REG
466;50.205;-104.713;REGINA
467;31.6258;-8.15583;SAADA
468;24.8295;55.3128;SAIH_SALAM
469;-1.462;21.518;SALONGA
470;-29.4433;-53.8234;SAO_MARTINHO_SONDA
471;30.8597;34.7794;SBO
472;30.855;34.7822;SEDE_BOKER
473;40.45;42.83;SELIM
474;34.344;-106.671;SEVILLETA1
475;40.83;-104.72;SHORTGRASS_STEPPE_SGS
476;43.7363;-96.626;SIOUX_FALLS_X
477;24.2493;55.6121;SMART
478;41.936;-93.664;SMEX
479;-29.4428;-53.8231;SMS
480;24.9069;46.3973;SOLAR_VILLAGE
481;-12.1707;26.3633;SOLWEZI
482;24.91;46.41;SOV
483;53.916;-104.69;SS_OJP_BOREAS
484;49.8786;21.8613;STRZYZOW
485;50.2816;-111.131;SUFFIELD
486;43.73;-96.62;SXF
487;19.7031;-98.9819;T1_MAX_MEX
488;37.0908;-2.35818;TABERNAS_PSA-DLR
489;-2.857;-54.959;TAPAJOS
490;35.55;8.68333;THALA
491;-28.9758;139.991;TINGA_TINGANA
492;31.742;-110.05;TOMBSTONE
493;38.0504;-117.091;TONOPAH_AIRPORT
494;55.7917;-3.23889;UK-AMO
495;55.9069;-2.85861;UK-ESA
496;51.2071;-2.82864;UK-TAD
497;35.8258;-93.203;UPPER_BUFFALO
498;36.6058;-97.4888;US-ARM
499;31.5907;-110.51;US-AUD
500;40.0062;-88.2904;US-BO1
501;48.3077;-105.102;US-FPE
